ID,Word,Suggest,Answer,Answer2,display
1,祝賀,ちょうとう,弔悼,NoExist,弔悼
2,陰鬱,めいろう,明朗,NoExist,明朗
3,混同,しゅんべつ,峻別,NoExist,峻別
4,灌木,きょうぼく,喬木,NoExist,喬木
5,暗愚,そうめい,聡明,NoExist,聡明
6,失墜,ばんかい,挽回,NoExist,挽回
7,得度,げんぞく,還俗,NoExist,還俗
8,荒蕪,ひよく,肥沃,NoExist,肥沃
9,進展,ていとん,停頓,NoExist,停頓
10,泰然,ろうばい,狼狽,NoExist,狼狽
11,懸念,あんど,安堵,NoExist,安堵
12,静粛,けんそう,喧騒,喧躁,喧騒(噪/躁/譟)
13,険阻,へいたん,平坦,NoExist,平坦
14,繁栄,ちょうらく,凋落,彫落,凋(彫)落
15,簡明,かいじゅう,晦渋,NoExist,晦渋
16,称賛,あくば,悪罵,NoExist,悪罵
17,没落,ぼっこう,勃興,NoExist,勃興
18,還俗,ていはつ,剃髪,NoExist,剃髪
19,黄昏,ふつぎょう,払暁,NoExist,払暁
20,正史,はいし,稗史,NoExist,稗史
21,寛大,しゅんれつ,峻烈,NoExist,峻烈
22,鮮明,もこ,模糊,NoExist,模糊
23,莫大,きんしょう,僅少,NoExist,僅少
24,一斑,ぜんぴょう,全豹,NoExist,全豹
25,威嚇,いぶ,慰撫,NoExist,慰撫
26,豊沃,こうぶ,荒蕪,NoExist,荒蕪
27,豪邸,ぼうおく,茅屋,NoExist,茅屋
28,精密,ずさん,杜撰,NoExist,杜撰
29,追跡,とんそう,遁走,NoExist,遁走
30,進捗,ぎょうたい,凝滞,NoExist,凝滞
31,根幹,まっしょう,末梢,NoExist,末梢
32,熟視,いちべつ,一瞥,NoExist,一瞥
33,狭窄,こうばく,広漠,宏漠,広(宏)漠
34,慧敏,うぐ,迂愚,NoExist,迂愚
35,堅牢,じゅうぜい,柔脆,NoExist,柔脆
36,進取,たいえい,退嬰,NoExist,退嬰
37,坦夷,けんしゅん,険峻,嶮峻,険(嶮)峻
38,覚醒,こんすい,昏睡,NoExist,昏睡
39,富貴,ひんせん,貧賤,NoExist,貧賤
40,必然,がいぜん,蓋然,NoExist,蓋然
41,潤沢,ひっぱく,逼迫,NoExist,逼迫
42,緊張,しかん,弛緩,NoExist,弛緩
43,竣成,きこう,起工,NoExist,起工
44,脆弱,きょうじん,強靭,NoExist,強靭
45,安泰,きたい,危殆,NoExist,危殆
46,公平,へんぱ,偏頗,NoExist,偏頗
47,抽出,しっかい,悉皆,NoExist,悉皆
48,End,,,NoExist,
49,,,,NoExist,
50,,,,NoExist,
51,,,,NoExist,
52,,,,NoExist,
53,,,,NoExist,
54,,,,NoExist,
55,,,,NoExist,
56,,,,NoExist,
57,,,,NoExist,
58,,,,NoExist,
59,,,,NoExist,
60,,,,NoExist,
61,,,,NoExist,
62,,,,NoExist,
63,,,,NoExist,
64,,,,NoExist,
65,,,,NoExist,
66,,,,NoExist,
67,,,,NoExist,
68,,,,NoExist,
69,,,,NoExist,
70,,,,NoExist,
71,,,,NoExist,
72,,,,NoExist,
73,,,,NoExist,
74,,,,NoExist,
75,,,,NoExist,
76,,,,NoExist,
77,,,,NoExist,
78,,,,NoExist,
79,,,,NoExist,
80,,,,NoExist,
81,,,,NoExist,
82,,,,NoExist,
83,,,,NoExist,
84,,,,NoExist,
85,,,,NoExist,
86,,,,NoExist,
87,,,,NoExist,
88,,,,NoExist,
89,,,,NoExist,
90,,,,NoExist,
91,,,,NoExist,
92,,,,NoExist,
93,,,,NoExist,
94,,,,NoExist,
95,,,,NoExist,
96,,,,NoExist,
97,,,,NoExist,
98,,,,NoExist,
99,,,,NoExist,
100,,,,NoExist,
