ID,Word,Suggest,Answer,Answer2,display
1,忠告,かんげん,諫言,NoExist,諫言
2,軽少,ささい,些細,瑣細,些(瑣)細
3,可憐,せいそ,清楚,NoExist,清楚
4,消長,ふちん,浮沈,NoExist,浮沈
5,動向,すうせい,趨勢,NoExist,趨勢
6,誘発,じゃっき,惹起,NoExist,惹起
7,峻厳,かれつ,苛烈,NoExist,苛烈
8,壊滅,がかい,瓦解,NoExist,瓦解
9,秘匿,いんぺい,隠蔽,NoExist,隠蔽
10,復活,そせい,蘇生,甦生,蘇(甦)生
11,酸鼻,むざん,無惨,NoExist,無惨
12,果報,みょうり,冥利,NoExist,冥利
13,親睦,ゆうぎ,友誼,NoExist,友誼
14,旺盛,けんこう,軒昂,NoExist,軒昂
15,瞬間,せつな,刹那,NoExist,刹那
16,狼狽,しゅうしょう,周章,NoExist,周章
17,魔手,そうが,爪牙,NoExist,爪牙
18,突如,こつぜん,忽然,NoExist,忽然
19,仮寓,きりゅう,寄留,NoExist,寄留
20,評判,こうせつ,巷説,NoExist,巷説
21,教導,ぼくたく,木鐸,NoExist,木鐸
22,前駆,せんべん,先鞭,NoExist,先鞭
23,道楽,ほうとう,放蕩,NoExist,放蕩
24,坐視,せいかん,静観,NoExist,静観
25,流布,でんぱ,伝播,NoExist,伝播
26,穎敏,さいり,犀利,NoExist,犀利
27,未明,まいそう,昧爽,NoExist,昧爽
28,贋作,ぎさく,偽作,NoExist,偽作
29,高慢,ふそん,不遜,NoExist,不遜
30,自儘,ほうし,放恣,放肆,放恣(肆)
31,一期,ひっせい,畢生,NoExist,畢生
32,莫逆,べっこん,別懇,NoExist,別懇
33,花形,ちょうじ,寵児,NoExist,寵児
34,出奔,ちくでん,逐電,NoExist,逐電
35,細大,こさい,巨細,NoExist,巨細
36,愉悦,きんき,欣喜,NoExist,欣喜
37,従容,ゆうよう,悠揚,NoExist,悠揚
38,軽率,そこつ,粗忽,楚忽,粗(楚)忽
39,杜撰,ざっぱく,雑駁,NoExist,雑駁
40,巨匠,せきがく,碩学,NoExist,碩学
41,不審,うさん,胡散,NoExist,胡散
42,隠遁,だつぞく,脱俗,NoExist,脱俗
43,遭遇,ほうちゃく,逢着,逢著,逢着(著)
44,吉兆,しょうずい,祥瑞,NoExist,祥瑞
45,元凶,しゅかい,首魁,NoExist,首魁
46,選出,ばってき,抜擢,NoExist,抜擢
47,矛盾,どうちゃく,撞着,撞著,撞着(著)
48,競争,かくちく,角逐,NoExist,角逐
49,要点,せいこく,正鵠,NoExist,正鵠
50,End,,,NoExist,
51,,,,NoExist,
52,,,,NoExist,
53,,,,NoExist,
54,,,,NoExist,
55,,,,NoExist,
56,,,,NoExist,
57,,,,NoExist,
58,,,,NoExist,
59,,,,NoExist,
60,,,,NoExist,
61,,,,NoExist,
62,,,,NoExist,
63,,,,NoExist,
64,,,,NoExist,
65,,,,NoExist,
66,,,,NoExist,
67,,,,NoExist,
68,,,,NoExist,
69,,,,NoExist,
70,,,,NoExist,
71,,,,NoExist,
72,,,,NoExist,
73,,,,NoExist,
74,,,,NoExist,
75,,,,NoExist,
76,,,,NoExist,
77,,,,NoExist,
78,,,,NoExist,
79,,,,NoExist,
80,,,,NoExist,
81,,,,NoExist,
82,,,,NoExist,
83,,,,NoExist,
84,,,,NoExist,
85,,,,NoExist,
86,,,,NoExist,
87,,,,NoExist,
88,,,,NoExist,
89,,,,NoExist,
90,,,,NoExist,
91,,,,NoExist,
92,,,,NoExist,
93,,,,NoExist,
94,,,,NoExist,
95,,,,NoExist,
96,,,,NoExist,
97,,,,NoExist,
98,,,,NoExist,
99,,,,NoExist,
100,,,,NoExist,
